,name,company,year,Price,kms_driven,fuel_type
101,Mahindra XUV500 W8 AWD 2013,Mahindra,2013,701000.0,38000.0,Diesel
102,Hyundai i10 Magna 1.2,Hyundai,2014,265000.0,18000.0,Petrol
103,Hyundai Verna Fluidic New,Hyundai,2015,525000.0,35000.0,Diesel
104,Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000.0,13349.0,Petrol
105,Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,635000.0,29000.0,Petrol
106,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,550000.0,44000.0,Diesel
107,Maruti Suzuki Ertiga Vxi,Maruti,2016,575000.0,29000.0,Petrol
108,Maruti Suzuki Ertiga VDi,Maruti,2013,485000.0,42000.0,Diesel
109,Maruti Suzuki Alto LXi BS III,Maruti,2012,155000.0,14000.0,Petrol
110,Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,345000.0,49000.0,Diesel
111,Honda Amaze 1.2 S i VTEC,Honda,2014,325000.0,42000.0,Petrol
112,Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500.0,36200.0,Diesel
113,Ford Figo Diesel EXI,Ford,2014,195000.0,50000.0,Diesel
114,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111.0,55000.0,Petrol
115,Maruti Suzuki Ertiga ZXi,Maruti,2014,569999.0,45000.0,Petrol
116,Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999.0,51000.0,Petrol
117,Maruti Suzuki Ritz VXI,Maruti,2014,299999.0,19000.0,Petrol
118,Maruti Suzuki Dzire,Maruti,2009,220000.0,46000.0,Petrol
119,Maruti Suzuki Ritz LDi,Maruti,2013,399999.0,33000.0,Diesel
120,Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000.0,13349.0,Petrol
121,Maruti Suzuki Dzire VDI,Maruti,2015,450000.0,104000.0,Diesel
122,Toyota Etios Liva G,Toyota,2014,270000.0,55000.0,Petrol
123,Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,350000.0,33333.0,Diesel
124,Chevrolet Spark,Chevrolet,2012,158400.0,33600.0,Petrol
125,Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,350000.0,5600.0,Petrol
126,Nissan Micra XV,Nissan,2011,179000.0,41000.0,Petrol
127,Maruti Suzuki Swift,Maruti,2007,125000.0,70000.0,Petrol
128,Maruti Suzuki Alto 800,Maruti,2018,200000.0,7500.0,Petrol
129,Honda Amaze 1.5 S i DTEC,Honda,2013,299000.0,45000.0,Diesel
130,Maruti Suzuki Alto 800 Vxi,Maruti,2015,220000.0,38000.0,Petrol
131,Chevrolet Beat,Chevrolet,2015,150000.0,30000.0,Petrol
132,Toyota Corolla,Toyota,2009,275000.0,26000.0,Petrol
133,Honda City 1.5 V MT,Honda,2010,285000.0,35000.0,Petrol
134,Ford EcoSport Trend 1.5L TDCi,Ford,2016,830000.0,24330.0,Diesel
135,Hyundai i20 Asta 1.2,Hyundai,2009,210000.0,65480.0,Petrol
136,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,340000.0,41000.0,Petrol
137,Tata Indica V2 eLS,Tata,2006,90000.0,20000.0,Petrol
139,Hindustan Motors Ambassador,Hindustan,2000,70000.0,200000.0,Diesel
140,Toyota Corolla Altis 1.8 GL,Toyota,2010,289999.0,70000.0,Petrol
141,Toyota Corolla Altis 1.8 J,Toyota,2012,349999.0,59000.0,Petrol
142,Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,849999.0,99000.0,Diesel
143,Volkswagen Jetta Highline TDI AT,Volkswagen,2014,749999.0,46000.0,Diesel
144,Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,399999.0,2800.0,Petrol
145,Volkswagen Polo,Volkswagen,2014,274999.0,32000.0,Petrol
146,Mahindra Scorpio,Mahindra,2015,984999.0,22000.0,Diesel
147,Renault Duster,Renault,2014,449999.0,50000.0,Diesel
148,Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
149,Nissan Sunny,Nissan,2012,224999.0,45000.0,Petrol
150,Hyundai Elite i20,Hyundai,2018,599999.0,21000.0,Petrol
151,Renault Kwid,Renault,2016,244999.0,11000.0,Petrol
152,Renault Duster,Renault,2013,399999.0,41000.0,Diesel
153,Ford EcoSport,Ford,2017,489999.0,39000.0,Petrol
154,Renault Duster,Renault,2014,474999.0,50000.0,Diesel
155,Mahindra Scorpio VLX Airbag,Mahindra,2011,499999.0,66000.0,Diesel
156,Maruti Suzuki Alto 800 Lxi,Maruti,2018,310000.0,3000.0,Petrol
157,Chevrolet Spark LT 1.0,Chevrolet,2010,85000.0,45000.0,Petrol
158,Datsun Redi GO T O,Datsun,2016,245000.0,7000.0,Petrol
159,Maruti Suzuki Swift RS VDI,Maruti,2010,189500.0,38500.0,Diesel
160,Fiat Punto Emotion 1.2,Fiat,2012,169500.0,37200.0,Diesel
161,Maruti Suzuki Swift RS VDI,Maruti,2010,159500.0,43200.0,Diesel
162,Toyota Etios GD,Toyota,2013,275000.0,24800.0,Petrol
163,Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,370000.0,60000.0,Diesel
164,Hyundai i10 Sportz 1.2,Hyundai,2010,168000.0,45872.0,Petrol
165,Chevrolet Beat LT Opt Diesel,Chevrolet,2011,150000.0,40000.0,Diesel
166,Chevrolet Beat LS Diesel,Chevrolet,2011,145000.0,45000.0,Diesel
167,Chevrolet Beat LT Diesel,Chevrolet,2012,98500.0,38000.0,Diesel
168,Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000.0,50000.0,Diesel
169,Tata Indigo CS,Tata,2011,85000.0,11400.0,Diesel
170,Toyota Corolla Altis 1.8 J,Toyota,2015,575000.0,42000.0,Petrol
171,Honda City 1.5 V MT,Honda,2014,549000.0,39000.0,Petrol
172,Maruti Suzuki Swift VDi,Maruti,2011,209000.0,47000.0,Diesel
173,Hyundai Eon Era Plus,Hyundai,2013,185000.0,27000.0,Petrol
174,Mahindra Scorpio S10,Mahindra,2015,900000.0,97200.0,Diesel
175,Mahindra XUV500,Mahindra,2014,699999.0,52000.0,Diesel
176,Honda Brio,Honda,2012,224999.0,30000.0,Petrol
177,Ford Fiesta,Ford,2011,274999.0,55000.0,Diesel
178,Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
179,Honda City,Honda,2015,599999.0,30000.0,Diesel
180,Maruti Suzuki Wagon R,Maruti,2012,199999.0,44000.0,Petrol
181,Honda City,Honda,2014,544999.0,45000.0,Diesel
182,Hyundai i20,Hyundai,2009,199000.0,31000.0,Petrol
183,Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430.0,Diesel
184,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000.0,38000.0,Diesel
186,Mahindra Quanto C8,Mahindra,2013,340000.0,37000.0,Diesel
187,Fiat Petra ELX 1.2 PS,Fiat,2008,75000.0,65000.0,Petrol
188,Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel
189,Mini Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol
190,Hyundai Santro Xing XS,Hyundai,2005,49000.0,7500.0,Petrol
191,Maruti Suzuki Ciaz VXi Plus,Maruti,2016,700000.0,3350.0,Petrol
192,Maruti Suzuki Zen VX,Maruti,2000,55000.0,60000.0,Petrol
193,Honda City,Honda,2015,448999.0,54000.0,Petrol
194,Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,895000.0,32000.0,Petrol
196,Mahindra Scorpio SLX,Mahindra,2007,355000.0,75000.0,Diesel
197,Mahindra Scorpio SLE BS IV,Mahindra,2012,565000.0,62000.0,Diesel
198,Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,365000.0,73000.0,Diesel
199,Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,145000.0,41000.0,Petrol
200,Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,210000.0,35000.0,Petrol
201,Tata Nano Cx BSIV,Tata,2013,40000.0,2200.0,Petrol
202,Maruti Suzuki Alto Std BS IV,Maruti,2013,125000.0,39000.0,Petrol
203,Maruti Suzuki Wagon R LXi BS III,Maruti,2009,135000.0,45000.0,Petrol
204,Maruti Suzuki Swift VXI BSIII,Maruti,2006,135000.0,45000.0,Petrol
205,Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,285000.0,65000.0,Diesel
207,Maruti Suzuki Wagon R LXi BS III,Maruti,2010,145000.0,54870.0,Petrol
208,Maruti Suzuki Alto LXi BS III,Maruti,2010,135000.0,34580.0,Petrol
209,Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,450000.0,97000.0,Diesel
210,Renault Scala RxL Diesel Travelogue,Renault,2015,375000.0,25000.0,Diesel
211,Mahindra Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel
212,Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000.0,20000.0,Petrol
213,Hyundai i20 Active 1.2 SX,Hyundai,2015,500000.0,18000.0,Petrol
214,Mahindra Xylo E4,Mahindra,2012,400000.0,35000.0,Diesel
215,Mahindra Jeep MM 550 XDB,Mahindra,2019,390000.0,60.0,Diesel
216,Renault Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000.0,Diesel
217,Mahindra Bolero SLE BS IV,Mahindra,2013,330000.0,80200.0,Diesel
218,Force Motors Force One LX ABS 7 STR,Force,2015,580000.0,3200.0,Diesel
219,Maruti Suzuki SX4,Maruti,2012,265000.0,46000.0,Diesel
220,Mahindra Jeep CL550 MDI,Mahindra,2019,379000.0,0.0,Diesel
221,Maruti Suzuki Alto 800,Maruti,2015,219000.0,5000.0,Petrol
222,Mahindra Jeep CL550 MDI,Mahindra,2018,385000.0,588.0,Diesel
223,Toyota Etios,Toyota,2011,275000.0,36000.0,Diesel
224,Volkswagen Polo,Volkswagen,2015,330000.0,38000.0,Diesel
225,Honda City ZX VTEC,Honda,2008,110000.0,45000.0,Petrol
226,Maruti Suzuki Wagon R LX BS III,Maruti,2006,80000.0,71200.0,Petrol
227,Honda City VX O MT Diesel,Honda,2016,519000.0,52000.0,Diesel
228,Mahindra Thar CRDe 4x4 AC,Mahindra,2016,730000.0,29000.0,Diesel
229,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000.0,47000.0,Diesel
230,Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000.0,47000.0,Petrol
231,Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,2000000.0,20000.0,Diesel
232,Land Rover Freelander 2 SE,Land,2015,2100000.0,30000.0,Diesel
233,Renault Kwid RXT,Renault,2017,340000.0,5000.0,Petrol
234,Tata Aria Pleasure 4X2,Tata,2014,390000.0,35000.0,Diesel
235,Mercedes Benz B Class B180 Sports,Mercedes,2014,1400000.0,31000.0,Petrol
236,Datsun GO T O,Datsun,2016,245000.0,7000.0,Petrol
237,Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430.0,Diesel
238,Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175400.0,Diesel
239,Honda Jazz VX MT,Honda,2016,450000.0,41000.0,Petrol
240,Honda Amaze 1.2 S i VTEC,Honda,2014,311000.0,33000.0,Petrol
241,Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
242,Honda City,Honda,2012,399999.0,45000.0,Petrol
243,Honda City,Honda,2015,599999.0,39000.0,Diesel
244,Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
245,Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000.0,47000.0,Petrol
246,Force Motors Force One LX ABS 7 STR,Force,2015,580000.0,3200.0,Diesel
247,Mahindra Scorpio S4,Mahindra,2015,855000.0,30000.0,Diesel
248,Hyundai i20 Active 1.4L SX O,Hyundai,2015,535000.0,37000.0,Diesel
249,Mini Cooper S,Mini,2013,1891111.0,13000.0,Petrol
250,Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,699000.0,14000.0,Petrol
251,Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000.0,Diesel
252,Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
253,Hyundai Eon Sportz,Hyundai,2012,178000.0,30000.0,Petrol
254,Tata Sumo Gold Select Variant,Tata,2013,300000.0,50000.0,Diesel
255,Maruti Suzuki Wagon R 1.0,Maruti,2003,90000.0,45000.0,Petrol
256,Maruti Suzuki Esteem VXi BS III,Maruti,2006,95000.0,45000.0,Petrol
257,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,255000.0,9300.0,Petrol
258,Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,245000.0,55000.0,Diesel
259,Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500.0,36200.0,Diesel
260,Ford Figo Diesel EXI,Ford,2014,195000.0,50000.0,Diesel
261,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111.0,55000.0,Petrol
262,Maruti Suzuki Ertiga ZXi,Maruti,2014,569999.0,45000.0,Petrol
263,Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999.0,51000.0,Petrol
264,Maruti Suzuki Ritz VXI,Maruti,2014,299999.0,19000.0,Petrol
265,Maruti Suzuki Dzire,Maruti,2009,220000.0,46000.0,Petrol
266,Maruti Suzuki Ritz LDi,Maruti,2013,399999.0,33000.0,Diesel
267,Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999.0,36000.0,Petrol
268,Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,289999.0,22000.0,Petrol
269,Mini Cooper S 1.6,Mini,2013,1891111.0,13500.0,Petrol
270,Nissan Terrano XL D Plus,Nissan,2015,499999.0,60000.0,Diesel
271,Renault Duster 85 PS RxE Diesel,Renault,2013,489999.0,27000.0,Diesel
272,Renault Duster 85 PS RxE Diesel,Renault,2014,489999.0,59000.0,Diesel
273,Renault Duster 85 PS RxL Diesel,Renault,2015,549999.0,19000.0,Diesel
274,Maruti Suzuki Dzire ZXI,Maruti,2013,380000.0,30000.0,Petrol
275,Renault Kwid RXT Opt,Renault,2018,325000.0,15000.0,Petrol
276,Maruti Suzuki Maruti 800 Std,Maruti,2003,57000.0,56758.0,Petrol
277,Renault Kwid 1.0 RXT AMT,Renault,2018,349999.0,10000.0,Petrol
278,Renault Lodgy 85 PS RXL,Renault,2018,689999.0,20000.0,Diesel
279,Renault Scala RxL Diesel,Renault,2014,349999.0,49000.0,Diesel
280,Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000.0,41000.0,Petrol
281,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,225000.0,45000.0,Petrol
282,Chevrolet Beat LS Petrol,Chevrolet,2010,120000.0,43000.0,Petrol
283,Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430.0,Diesel
284,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,59000.0,56450.0,Petrol
285,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000.0,38000.0,Diesel
287,Chevrolet Beat LS Petrol,Chevrolet,2010,80000.0,56000.0,Petrol
288,Mahindra Quanto C8,Mahindra,2013,340000.0,37000.0,Diesel
289,Fiat Petra ELX 1.2 PS,Fiat,2008,75000.0,65000.0,Petrol
290,Chevrolet Beat LS Petrol,Chevrolet,2015,220000.0,32700.0,Petrol
291,Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel
292,Ford EcoSport Titanium 1.5L TDCi,Ford,2016,599000.0,30000.0,Diesel
293,Hyundai Accent GLX,Hyundai,2006,80000.0,56000.0,Petrol
296,Mahindra TUV300 T4 Plus,Mahindra,2016,675000.0,9000.0,Diesel
297,Mini Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol
298,Mini Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol
299,Tata Indica V2 Xeta e GLE,Tata,2008,150000.0,11000.0,Petrol
300,Mini Cooper S,Mini,2013,1891111.0,13000.0,Petrol
301,Tata Indigo CS LS DiCOR,Tata,2009,72500.0,46000.0,Diesel
302,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,610000.0,73.0,Petrol
303,Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,230000.0,160000.0,Diesel
305,Honda Accord,Honda,2009,175000.0,58559.0,Petrol
306,Mahindra Scorpio S4,Mahindra,2015,855000.0,30000.0,Diesel
307,Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000.0,Diesel
308,Ford EcoSport Titanium 1.5 TDCi,Ford,2014,520000.0,57000.0,Diesel
309,Maruti Suzuki Ertiga,Maruti,2015,524999.0,50000.0,Diesel
310,Honda Amaze,Honda,2014,299999.0,37000.0,Petrol
311,Maruti Suzuki Dzire,Maruti,2012,299999.0,40000.0,Petrol
312,Honda City,Honda,2011,284999.0,55000.0,Petrol
313,Mahindra Scorpio 2.6 CRDe,Mahindra,2007,220000.0,170000.0,Diesel
314,Maruti Suzuki Dzire,Maruti,2014,424999.0,55000.0,Diesel
315,Honda City,Honda,2015,644999.0,39000.0,Petrol
316,Honda Mobilio,Honda,2014,399999.0,44000.0,Petrol
317,Toyota Corolla Altis,Toyota,2009,199999.0,65000.0,Petrol
318,Honda City,Honda,2014,584999.0,39000.0,Petrol
319,Skoda Laura,Skoda,2012,349999.0,44000.0,Diesel
320,Renault Duster,Renault,2015,449999.0,49000.0,Diesel
321,Maruti Suzuki Ertiga,Maruti,2018,799999.0,9000.0,Diesel
322,Maruti Suzuki Dzire,Maruti,2015,444999.0,45000.0,Diesel
323,Mahindra XUV500,Mahindra,2014,649999.0,47000.0,Diesel
324,Hyundai Verna Fluidic,Hyundai,2012,444999.0,40000.0,Diesel
325,Maruti Suzuki Vitara Brezza,Maruti,2016,689999.0,29000.0,Diesel
326,Maruti Suzuki Wagon R,Maruti,2016,344999.0,15000.0,Petrol
327,Mahindra Scorpio,Mahindra,2015,944999.0,45000.0,Diesel
328,Honda Amaze,Honda,2014,274999.0,35000.0,Petrol
329,Mahindra XUV500,Mahindra,2013,689999.0,80000.0,Diesel
330,Mahindra Scorpio,Mahindra,2013,574999.0,68000.0,Diesel
331,Skoda Laura,Skoda,2013,374999.0,50000.0,Diesel
332,Volkswagen Polo,Volkswagen,2010,199999.0,60000.0,Diesel
333,Hyundai Elite i20,Hyundai,2016,549999.0,9000.0,Petrol
334,Tata Manza Aura Quadrajet,Tata,2012,130000.0,72000.0,Diesel
335,Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013,210000.0,60000.0,Petrol
336,Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000.0,38000.0,Diesel
337,Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000.0,45000.0,Diesel
338,Audi A4 2.0 TDI 177bhp Premium,Audi,2012,1350000.0,40000.0,Diesel
339,Hyundai Elantra SX,Hyundai,2013,600000.0,20000.0,Petrol
340,Mahindra Scorpio VLX 4WD Airbag,Mahindra,2013,610000.0,35000.0,Diesel
341,Mahindra KUV100 K8 D 6 STR,Mahindra,2016,400000.0,20000.0,Diesel
342,Renault Scala RxL Diesel Travelogue,Renault,2015,375000.0,25000.0,Diesel
343,Mahindra Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel
344,Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000.0,20000.0,Petrol
345,Hyundai i20 Active 1.2 SX,Hyundai,2015,500000.0,18000.0,Petrol
346,Mahindra Xylo E4,Mahindra,2012,400000.0,35000.0,Diesel
347,Hyundai Grand i10,Hyundai,2017,524999.0,6821.0,Petrol
